,rank,nct number,title,acronym,status,study results,conditions,interventions,outcome measures,sponsor/collaborators,gender,age,phases,enrollment,funded bys,study type,study designs,other ids,start date,primary completion date,completion date,first posted,results first posted,last update posted,locations,study documents,url,duration,ftype2,cond1,allocation,interv_mod2,mask1,purp1
0,1,NCT03415399,"Clinical Study of ET190L1 ARTEMIS™ in Relapsed, Refractory B Cell Lymphoma",,Completed,No Results Available,"Lymphoma, B-Cell",Biological: ET190L1 ARTEMIS™ T cells,Maximum Tolerated Dose|Toxicity profile of ET190L1 ARTEMIS™ T-cell treatment|Tmax of serum cytokine levels|Time to baseline for serum cytokine levels|AUC of serum cytokine levels|Duration of in vivo engraftment of ET190L1 ARTEMIS™ T cells|Rate of disease response|Anti-tumor responses|B cell depletion,Eureka Therapeutics Inc.|Peking University,All,"18 Years and older   (Adult, Older Adult)",Phase 1,4.0,Industry|Other,Interventional,Allocation: N/A|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,ETCH17CD19AR103,2017-09-09,"December 31, 2020",2020-12-31,"January 30, 2018",,"March 16, 2021","Peking University Cancer Hospital, Beijing, China",,https://ClinicalTrials.gov/show/NCT03415399,1209.0,Industry Lead,Less than three Conditions,N/A,None-Crossover Assignment,None (Open Label),Treatment/Diagnostic
1,2,NCT01334502,"Everolimus, Rituximab, and Combination Chemotherapy in Treating Patients With Newly Diagnosed Untreated Diffuse Large B-Cell Lymphoma",,Completed,No Results Available,Lymphoma,Biological: rituximab|Drug: cyclophosphamide|Drug: doxorubicin hydrochloride|Drug: everolimus|Drug: prednisone|Drug: vincristine sulfate,"MTD of everolimus in combination with R-CHOP|Adverse events profile|Toxicity profile|Proportion of patients who have a significant toxicity|Rate of EFS|Overall response rate, CR rate, overall survival, PFS, and duration of response",Alliance for Clinical Trials in Oncology|National Cancer Institute (NCI),All,"18 Years and older   (Adult, Older Adult)",Phase 1,26.0,Other|NIH,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,NCCTG-N1085|CDR0000698584|NCI-2011-02643,2012-03-01,February 2015,2017-08-01,"April 13, 2011",,"August 10, 2017","Mayo Clinic Cancer Center, Rochester, Minnesota, United States",,https://ClinicalTrials.gov/show/NCT01334502,1979.0,Not Industry Lead,Less than three Conditions,N/A,None-Crossover Assignment,None (Open Label),Treatment/Diagnostic
2,3,NCT03039114,Study Evaluating Safety and Efficacy of INCB050465 Combined With Bendamustine and Obinutuzumab in Relapsed or Refractory Follicular Lymphoma (CITADEL-102),,Completed,No Results Available,Lymphoma,Drug: Parsaclisib|Drug: Hexal|Drug: Gazyvaro,"Safety and tolerability of parsaclisib in combination with bendamustine and obinutuzumab in relapsed or refractory FL, assessed by number of subjects with adverse events (AEs)|Objective response rate based on Lugano classification criteria|Complete response rate based on Lugano classification criteria|Duration of response|Progression-free survival|Overall survival",Incyte Corporation,All,"18 Years and older   (Adult, Older Adult)",Phase 1,26.0,Industry,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,INCB 50465-102 (CITADEL-102)|Parsaclisib,2017-02-15,"March 30, 2021",2021-03-30,"February 1, 2017",,"December 2, 2021","Banner Health, Gilbert, Arizona, United States|University of California, San Diego, La Jolla, California, United States|University of Kansas Cancer Center, Fairway, Kansas, United States|Center for Cancer and Blood Disorders (CCBD) - Bethesda, Bethesda, Maryland, United States|Clinical Research Alliance, Lake Success, New York, United States|Froedtert & Medical College of Wisconsin & Affiliated Hospitals, Milwaukee, Wisconsin, United States|FN Ostrava / Ostrava, Ostrava, Czechia|Aarhus University Hospital, Aarhus, Denmark|Rigshospitalet, Copenhagen, Denmark|The Finsen Centre, National Hospital, Copenhagen, Denmark|Semmelweis Egyetem, Budapest, Hungary|Centro di Riferimento Oncologico, Aviano, Italy|Azienda Ospedaliero Universitaria Di Bologna, Bologna, Italy|Policlinico S. Orsola-Ematologia LA Seragnoli, Bologna, Italy|A.O. Spedali Civili, Brescia, Italy|UO Ematologia ASST Spedali Civili, Brescia, Italy|Hospital Germans Trias Pujol, Barcelona, Spain|Hospital Universitario Gregorio Marañón, Madrid, Spain|Hospital Universitario Fundación Jiménez Díaz, Madrid, Spain|Hospital Universitario La Paz, Madrid, Spain|Hospital Universitario Virgen del Rocío, Sevilla, Spain",,https://ClinicalTrials.gov/show/NCT03039114,1504.0,Industry Lead,Less than three Conditions,N/A,None-Crossover Assignment,None (Open Label),Treatment/Diagnostic
3,4,NCT04103905,A Study of MIL62 in Treatment of CD20 Positive B-cell Lymphomas,,Completed,No Results Available,CD20-positive B Cell Non-Hodgkin Lymphoma,Drug: Recombinant Humanized Monoclonal Antibody MIL62 Injection,Percentage of Participants Who Experienced a Dose-limiting Toxicity in Dose Escalation Period of the Study|Percentage of Participants With Best Overall Response|Maximum Observed Plasma Concentration (Cmax) Under Steady State of MIL62|Area Under the Plasma Concentration Versus Time Curve (AUC) of MIL62 Under Steady State|Systemic Clearance of MIL62 Under Steady State|Volume of Distribution Under Steady State (Vss) of MIL62|Terminal Plasma Half-Life (t1/2) of MIL62 Under Steady State|Change in Cluster of Differentiation 19 (CD19+) B Cells|Change in Cluster of Differentiation 20 (CD20+) B Cells|Percentage of Participants with Positive Anti-Drug Antibodies to MIL62|Progression-free Survival (PFS) in the Study|Overall Survival (OS) in the Study|Duration of response (DoR)|Disease control rate (DCR)|Participants With Event-Free Survival (EFS),"Beijing Mabworks Biotech Co., Ltd.",All,"18 Years and older   (Adult, Older Adult)",Phase 1,27.0,Industry,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,MIL62-CT01,2017-02-10,"May 30, 2019",2020-05-29,"September 26, 2019",,"June 16, 2021","Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College (PUMC), Beijing, Beijing, China",,https://ClinicalTrials.gov/show/NCT04103905,1204.0,Industry Lead,Less than three Conditions,N/A,None-Crossover Assignment,None (Open Label),Treatment/Diagnostic
4,5,NCT02741388,A Phase Ib Study of Oral Selinexor in Adult Patients With Relapsed/Refractory B-cell Lymphoma Receiving R-DHAOx or R-GDP,SELINDA,Completed,No Results Available,B-cell Lymphoma,Drug: selinexor|Drug: Rituximab|Drug: Dexamethasone|Drug: Oxaliplatin|Drug: Cisplatin|Drug: Cytarabine|Drug: Gemcitabine,"Incidence rate of dose-limiting toxicities (DLTs) observed during the DLT assessment period (cycle 1) at each dose level examined|Response rates|Duration of response|Progression-free survival (PFS)|Time to next anti-lymphoma treatment (TTNLT)|Overall survival (OS)|Incidence of grade ≥ 2 renal toxicities, grade ≥ 2 neuropathy, and grade ≥ 3 toxicities",The Lymphoma Academic Research Organisation|Karyopharm Therapeutics Inc,All,"18 Years to 70 Years   (Adult, Older Adult)",Phase 1,39.0,Other|Industry,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,SELINDA,2016-10-01,"September 29, 2021",2021-09-29,"April 18, 2016",,"December 7, 2021","Institut Jules Bordet, Bruxelles, Belgium|CHU Dijon, Dijon, France|CHRU de Lille - Hôpital Claude Huriez, Lille, France|CHU Montpellier - Hôpital Saint Eloi, Montpellier, France|CHU Nancy - Hôpital de Brabois, Nancy, France|Hôpital Saint-Louis, Paris, France|CHU Bordeaux - Centre François Magendie, Pessac, France|Centre Henri Becquerel, Rouen, France",,https://ClinicalTrials.gov/show/NCT02741388,1824.0,Not Industry Lead,Less than three Conditions,N/A,None-Crossover Assignment,None (Open Label),Treatment/Diagnostic
5,6,NCT02395601,A Study Evaluating CPI-1205 in Patients With B-Cell Lymphomas,,Completed,No Results Available,B-Cell Lymphoma,Drug: CPI-1205,"Frequency of Dose-limiting toxicities (DLTs)|Frequency of adverse events|Pharmacokinetic parameters of CPI-1205: AUC(0-t), AUC(0-inf), AUCtau,ss, Tmax, Cmax, Ctrough, T1/2, Vd/F, CL/F|Pharmacodynamic effects of CPI-1205 in lymphoma tissue: changes in levels of the trimethylated form of lysine residue 27 on histone 3; changes in the expression of genes whose transcription may be altered by EZH2 inhibition|Pharmacodynamic effects of CPI-1205 in bone marrow and in skin: changes in global levels of the trimethylated form of lysine residue 27 on histone 3 (H3K27me3)|Disease response assessment will be performed using the 2014 Lugano Response Criteria for Hodgkin and Non-Hodgkin Lymphoma",Constellation Pharmaceuticals,All,"18 Years and older   (Adult, Older Adult)",Phase 1,41.0,Industry,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,1205-01,2015-03-01,December 2018,2018-12-01,"March 23, 2015",,"May 18, 2022","Horizon Oncology Center, Lafayette, Indiana, United States|Massachusetts General Hospital, Boston, Massachusetts, United States|University of Nebraska Medical Center, Omaha, Nebraska, United States|John Theurer Cancer Center, Hackensack, New Jersey, United States|The Ohio State University James Cancer Hospital, Columbus, Ohio, United States|Sarah Cannon Research Institute, Nashville, Tennessee, United States",,https://ClinicalTrials.gov/show/NCT02395601,1371.0,Industry Lead,Less than three Conditions,N/A,None-Crossover Assignment,None (Open Label),Treatment/Diagnostic
6,7,NCT02598570,Study Evaluating Duvelisib in Japanese Subjects With Relapsed or Refractory Lymphoma,,Completed,No Results Available,Lymphoma,Drug: duvelisib,Number of participants reporting Treatment-emergent Adverse Events|Maximum Observed Plasma Concentration (Cmax) of Duvelisib|Time to Maximum Observed Concentration (Tmax) of Duvelisib|Area Under the Plasma Concentration-time Curve (AUC) of Duvelisib|Overall Response Rate|Overall Survival|Progression Free Survival,"AbbVie|Infinity Pharmaceuticals, Inc.",All,"20 Years to 99 Years   (Adult, Older Adult)",Phase 1,7.0,Industry,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,M15-460,2015-11-01,December 2016,2017-02-01,"November 6, 2015",,"February 6, 2017","Site Reference ID/Investigator# 141826, Aichi, Japan|Site Reference ID/Investigator# 141595, Fukuoka, Japan|Site Reference ID/Investigator# 141594, Tokyo, Japan",,https://ClinicalTrials.gov/show/NCT02598570,458.0,Industry Lead,Less than three Conditions,N/A,None-Crossover Assignment,None (Open Label),Treatment/Diagnostic
7,8,NCT01926665,"Carfilzomib Consolidation Therapy After Autologous Stem Cell Transplantation (ASCT) for Mantle Cell Lymphoma (MCL), T-cell Lymphoma (TCL), and Diffuse Large B-Cell Lymphoma (DLBCL)",,Completed,No Results Available,Lymphoma,Drug: Carfilzomib|Drug: Dexamethasone,Maximum Tolerated Dose (MTD) of Carfilzomib (CFZ) After Autologous Stem Cell Transplantation (ASCT)|Efficacy of Carfilzomib (CFZ) After Autologous Stem Cell Transplantation (ASCT),M.D. Anderson Cancer Center|Amgen,All,"18 Years to 70 Years   (Adult, Older Adult)",Phase 1,2.0,Other|Industry,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,2012-1070|NCI-2014-00994,2014-06-17,"September 17, 2017",2017-09-17,"August 21, 2013",,"September 19, 2017","University of Texas MD Anderson Cancer Center, Houston, Texas, United States",,https://ClinicalTrials.gov/show/NCT01926665,1188.0,Not Industry Lead,Less than three Conditions,N/A,None-Crossover Assignment,None (Open Label),Treatment/Diagnostic
8,9,NCT00787969,"Rituximab, Cladribine, and Temsirolimus in Treating Patients With Newly Diagnosed Mantle Cell Lymphoma",,Completed,No Results Available,Lymphoma,Biological: rituximab|Drug: cladribine|Drug: temsirolimus|Biological: Filgrastim|Biological: Pegfilgrastim,"Number of dose limiting toxicity incidents as per National Cancer Institute (NCI) Common Terminology Criteria for Adverse Events (CTCAE) version (v) 3.0 (Phase I)|Proportion of complete tumor responses defined as complete remission (CR) as the objective status (Phase II)|Overall survival|Progression-free survival (PFS)|Time to disease progression|Duration of response, defined as date at which the patient's objective status is first noted to be either a CR or partial remission to the date progression is documented|Survival time|Frequency and severity of adverse events assessed by CTCAE v3.0",Alliance for Clinical Trials in Oncology|National Cancer Institute (NCI),All,"18 Years and older   (Adult, Older Adult)",Phase 1,74.0,Other|NIH,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,NCCTG-N078D|NCI-2009-00669|CDR0000619329,2009-04-01,April 2012,2017-06-15,"November 10, 2008",,"January 9, 2018","Mayo Clinic Scottsdale, Scottsdale, Arizona, United States|Illinois CancerCare - Bloomington, Bloomington, Illinois, United States|St. Joseph Medical Center, Bloomington, Illinois, United States|Graham Hospital, Canton, Illinois, United States|Illinois CancerCare - Canton, Canton, Illinois, United States|Illinois CancerCare - Carthage, Carthage, Illinois, United States|Memorial Hospital, Carthage, Illinois, United States|Eureka Community Hospital, Eureka, Illinois, United States|Illinois CancerCare - Eureka, Eureka, Illinois, United States|Galesburg Clinic, PC, Galesburg, Illinois, United States|Illinois CancerCare - Galesburg, Galesburg, Illinois, United States|Illinois CancerCare - Havana, Havana, Illinois, United States|Mason District Hospital, Havana, Illinois, United States|Illinois CancerCare - Kewanee Clinic, Kewanee, Illinois, United States|Illinois CancerCare - Macomb, Macomb, Illinois, United States|McDonough District Hospital, Macomb, Illinois, United States|Illinois CancerCare - Monmouth, Monmouth, Illinois, United States|OSF Holy Family Medical Center, Monmouth, Illinois, United States|BroMenn Regional Medical Center, Normal, Illinois, United States|Community Cancer Center, Normal, Illinois, United States|Illinois CancerCare - Community Cancer Center, Normal, Illinois, United States|Community Hospital of Ottawa, Ottawa, Illinois, United States|Oncology Hematology Associates of Central Illinois, PC - Ottawa, Ottawa, Illinois, United States|Cancer Treatment Center at Pekin Hospital, Pekin, Illinois, United States|Illinois CancerCare - Pekin, Pekin, Illinois, United States|Proctor Hospital, Peoria, Illinois, United States|CCOP - Illinois Oncology Research Association, Peoria, Illinois, United States|Oncology Hematology Associates of Central Illinois, PC - Peoria, Peoria, Illinois, United States|Methodist Medical Center of Illinois, Peoria, Illinois, United States|OSF St. Francis Medical Center, Peoria, Illinois, United States|Illinois CancerCare - Peru, Peru, Illinois, United States|Illinois Valley Community Hospital, Peru, Illinois, United States|Illinois CancerCare - Princeton, Princeton, Illinois, United States|Perry Memorial Hospital, Princeton, Illinois, United States|Illinois CancerCare - Spring Valley, Spring Valley, Illinois, United States|Elkhart Clinic, LLC, Elkhart, Indiana, United States|Michiana Hematology-Oncology, PC - Elkhart, Elkhart, Indiana, United States|Elkhart General Hospital, Elkhart, Indiana, United States|Howard Community Hospital, Kokomo, Indiana, United States|Center for Cancer Therapy at LaPorte Hospital and Health Services, La Porte, Indiana, United States|Michiana Hematology-Oncology, PC - South Bend, Mishawaka, Indiana, United States|Saint Joseph Regional Medical Center, Mishawaka, Indiana, United States|Michiana Hematology Oncology PC - Plymouth, Plymouth, Indiana, United States|CCOP - Northern Indiana CR Consortium, South Bend, Indiana, United States|Memorial Hospital of South Bend, South Bend, Indiana, United States|Michiana Hematology Oncology PC - La Porte, Westville, Indiana, United States|McFarland Clinic, PC, Ames, Iowa, United States|Cedar Rapids Oncology Associates, Cedar Rapids, Iowa, United States|Mercy Regional Cancer Center at Mercy Medical Center, Cedar Rapids, Iowa, United States|Medical Oncology and Hematology Associates - West Des Moines, Clive, Iowa, United States|CCOP - Iowa Oncology Research Association, Des Moines, Iowa, United States|John Stoddard Cancer Center at Iowa Methodist Medical Center, Des Moines, Iowa, United States|Medical Oncology and Hematology Associates at John Stoddard Cancer Center, Des Moines, Iowa, United States|Medical Oncology and Hematology Associates at Mercy Cancer Center, Des Moines, Iowa, United States|Mercy Cancer Center at Mercy Medical Center - Des Moines, Des Moines, Iowa, United States|John Stoddard Cancer Center at Iowa Lutheran Hospital, Des Moines, Iowa, United States|Mercy Cancer Center at Mercy Medical Center - North Iowa, Mason City, Iowa, United States|Siouxland Hematology-Oncology Associates, LLP, Sioux City, Iowa, United States|Mercy Medical Center - Sioux City, Sioux City, Iowa, United States|St. Luke's Regional Medical Center, Sioux City, Iowa, United States|Cancer Center of Kansas, PA - Chanute, Chanute, Kansas, United States|Cancer Center of Kansas, PA - Dodge City, Dodge City, Kansas, United States|Cancer Center of Kansas, PA - El Dorado, El Dorado, Kansas, United States|Cancer Center of Kansas - Fort Scott, Fort Scott, Kansas, United States|Cancer Center of Kansas-Independence, Independence, Kansas, United States|Cancer Center of Kansas, PA - Kingman, Kingman, Kansas, United States|Lawrence Memorial Hospital, Lawrence, Kansas, United States|Cancer Center of Kansas, PA - Liberal, Liberal, Kansas, United States|Cancer Center of Kansas, PA - Newton, Newton, Kansas, United States|Cancer Center of Kansas, PA - Parsons, Parsons, Kansas, United States|Cancer Center of Kansas, PA - Pratt, Pratt, Kansas, United States|Cancer Center of Kansas, PA - Salina, Salina, Kansas, United States|Cancer Center of Kansas, PA - Wellington, Wellington, Kansas, United States|Associates in Womens Health, PA - North Review, Wichita, Kansas, United States|Cancer Center of Kansas, PA - Medical Arts Tower, Wichita, Kansas, United States|Cancer Center of Kansas, PA - Wichita, Wichita, Kansas, United States|CCOP - Wichita, Wichita, Kansas, United States|Via Christi Cancer Center at Via Christi Regional Medical Center, Wichita, Kansas, United States|Cancer Center of Kansas, PA - Winfield, Winfield, Kansas, United States|Battle Creek Health System Cancer Care Center, Battle Creek, Michigan, United States|Mecosta County Medical Center, Big Rapids, Michigan, United States|Green Bay Oncology, Limited - Escanaba, Escanaba, Michigan, United States|Butterworth Hospital at Spectrum Health, Grand Rapids, Michigan, United States|CCOP - Grand Rapids, Grand Rapids, Michigan, United States|Lacks Cancer Center at Saint Mary's Health Care, Grand Rapids, Michigan, United States|Dickinson County Healthcare System, Iron Mountain, Michigan, United States|Mercy General Health Partners, Muskegon, Michigan, United States|Michiana Hematology Oncology PC - Niles, Niles, Michigan, United States|Lakeland Regional Cancer Care Center - St. Joseph, Saint Joseph, Michigan, United States|Lakeside Cancer Specialists, PLLC, Saint Joseph, Michigan, United States|Munson Medical Center, Traverse City, Michigan, United States|Metro Health Hospital, Wyoming, Michigan, United States|Fairview Ridges Hospital, Burnsville, Minnesota, United States|Mercy and Unity Cancer Center at Mercy Hospital, Coon Rapids, Minnesota, United States|Duluth Clinic Cancer Center - Duluth, Duluth, Minnesota, United States|CCOP - Duluth, Duluth, Minnesota, United States|Miller - Dwan Medical Center, Duluth, Minnesota, United States|Fairview Southdale Hospital, Edina, Minnesota, United States|Mercy and Unity Cancer Center at Unity Hospital, Fridley, Minnesota, United States|Hutchinson Area Health Care, Hutchinson, Minnesota, United States|HealthEast Cancer Care at St. John's Hospital, Maplewood, Minnesota, United States|Minnesota Oncology Hematology, PA - Maplewood, Maplewood, Minnesota, United States|Virginia Piper Cancer Institute at Abbott - Northwestern Hospital, Minneapolis, Minnesota, United States|Hennepin County Medical Center - Minneapolis, Minneapolis, Minnesota, United States|Humphrey Cancer Center at North Memorial Outpatient Center, Robbinsdale, Minnesota, United States|Mayo Clinic Cancer Center, Rochester, Minnesota, United States|CCOP - Metro-Minnesota, Saint Louis Park, Minnesota, United States|Park Nicollet Cancer Center, Saint Louis Park, Minnesota, United States|Regions Hospital Cancer Care Center, Saint Paul, Minnesota, United States|United Hospital, Saint Paul, Minnesota, United States|St. Francis Cancer Center at St. Francis Medical Center, Shakopee, Minnesota, United States|Lakeview Hospital, Stillwater, Minnesota, United States|Ridgeview Medical Center, Waconia, Minnesota, United States|Willmar Cancer Center at Rice Memorial Hospital, Willmar, Minnesota, United States|Minnesota Oncology Hematology, PA - Woodbury, Woodbury, Minnesota, United States|CCOP - Montana Cancer Consortium, Billings, Montana, United States|St. Vincent Healthcare Cancer Care Services, Billings, Montana, United States|Hematology-Oncology Centers of the Northern Rockies - Billings, Billings, Montana, United States|Billings Clinic - Downtown, Billings, Montana, United States|Bozeman Deaconess Cancer Center, Bozeman, Montana, United States|St. James Healthcare Cancer Care, Butte, Montana, United States|Great Falls Clinic - Main Facility, Great Falls, Montana, United States|Sletten Cancer Institute at Benefis Healthcare, Great Falls, Montana, United States|Northern Montana Hospital, Havre, Montana, United States|St. Peter's Hospital, Helena, Montana, United States|Glacier Oncology, PLLC, Kalispell, Montana, United States|Kalispell Medical Oncology at KRMC, Kalispell, Montana, United States|Kalispell Regional Medical Center, Kalispell, Montana, United States|Montana Cancer Center at St. Patrick Hospital and Health Sciences Center, Missoula, Montana, United States|Bismarck Cancer Center, Bismarck, North Dakota, United States|Medcenter One Hospital Cancer Care Center, Bismarck, North Dakota, United States|Mid Dakota Clinic, PC, Bismarck, North Dakota, United States|St. Alexius Medical Center Cancer Center, Bismarck, North Dakota, United States|Rapid City Regional Hospital, Rapid City, South Dakota, United States|Green Bay Oncology, Limited at St. Vincent Hospital Regional Cancer Center, Green Bay, Wisconsin, United States|Green Bay Oncology, Limited at St. Mary's Hospital, Green Bay, Wisconsin, United States|St. Mary's Hospital Medical Center - Green Bay, Green Bay, Wisconsin, United States|St. Vincent Hospital Regional Cancer Center, Green Bay, Wisconsin, United States|Holy Family Memorial Medical Center Cancer Care Center, Manitowoc, Wisconsin, United States|Bay Area Cancer Care Center at Bay Area Medical Center, Marinette, Wisconsin, United States|Green Bay Oncology, Limited - Oconto Falls, Oconto Falls, Wisconsin, United States|St. Nicholas Hospital, Sheboygan, Wisconsin, United States|Green Bay Oncology, Limited - Sturgeon Bay, Sturgeon Bay, Wisconsin, United States|Welch Cancer Center at Sheridan Memorial Hospital, Sheridan, Wyoming, United States",,https://ClinicalTrials.gov/show/NCT00787969,2997.0,Not Industry Lead,Less than three Conditions,N/A,None-Crossover Assignment,None (Open Label),Treatment/Diagnostic
9,10,NCT03424122,"INCB050465 in Combination With Rituximab, Bendamustine and Rituximab, or Ibrutinib in Participants With Previously Treated B-Cell Lymphoma (CITADEL-112)",,Completed,No Results Available,B-cell Lymphoma,Drug: Parsaclisib|Drug: Rituximab|Drug: Bendamustine|Drug: Ibrutinib,"Number of treatment-emergent adverse events (TEAEs)|Apparent clearance of parsaclisibin combination with rituximab, bendamustine and rituximab, or ibrutinib|Apparent volume of distribution of parsaclisib in combination with rituximab, bendamustine and rituximab, or ibrutinib",Incyte Corporation,All,"18 Years and older   (Adult, Older Adult)",Phase 1,50.0,Industry,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,INCB 50465-112 (CITADEL-112)|Parsaclisib,2018-07-02,"June 27, 2022",2022-06-27,"February 6, 2018",,"June 29, 2022","University of Arizona Cancer Center - Out Pt., Tucson, Arizona, United States|Indiana Blood and Marrow Transplantation, Indianapolis, Indiana, United States|Comprehensive Cancer Center of Nevada, Las Vegas, Nevada, United States|Texas Oncology, Austin, Texas, United States|Baylor Charles A. Sammons Cancer Center, Dallas, Texas, United States|Baylor College of Medicine, Houston, Texas, United States|Smith Clinic, Houston, Texas, United States|Cancer Care Centers of South Texas, San Antonio, Texas, United States|Texas Oncology San Antonio, San Antonio, Texas, United States|Asst Spedali Civili Di Brescia, Brescia, Italy|Azienda Ospedaliera San Gerardo Di Monza, Monza, Italy|Azienda Ospedaliera Universitaria Pisana, Pisa, Italy|Ospedale Delle Croci - Ematologia Ravenna, Ravenna, Italy|Hospital Germans Trias I Pujol, Badalona, Spain|Hospital General Universitari Vall D Hebron, Barcelona, Spain|Hospital Clinic I Provincial, Barcelona, Spain|Fundacion Jimenez Diaz University Hospital, Madrid, Spain|Hospital Universitario Hm Sanchinarro, Madrid, Spain|Hospital Clinico Universitario de Salamanca, Salamanca, Spain|Hospital Universitario Virgen Del Rocio, Sevilla, Spain|Hospital Universitario Y Politecnic La Fe, Valencia, Spain",,https://ClinicalTrials.gov/show/NCT03424122,1456.0,Industry Lead,Less than three Conditions,Non-Randomized,None-Crossover Assignment,None (Open Label),Treatment/Diagnostic
