,enrollment,indus,national_cancer_institute_(nci)_as_sponsor,location_count,us_lead,include_country_united states,number_of_measures,lead_aes,lead_mtd,lead_dlt,measure_mtd,measure_cmax,measure_os,measure_dor,measure_dlt,measure_aes,measure_tmax,condition_count,intervention_count,biological_included,drug_included,procedure_included,radiation_included,ccat,random,purp_prev,purp_treat,label_open,label_nopen,cross,y_class
0,5.0,0,False,1,1,True,1,0,0,0,False,False,False,False,False,False,False,1,1,True,False,False,False,0,0,0,1,1,0,0,0
1,33.0,0,False,1,1,True,5,0,0,0,False,False,False,False,False,False,False,1,1,False,True,False,False,0,0,0,1,1,0,0,1
2,30.0,0,True,7,0,False,1,0,0,0,False,False,False,False,False,False,False,1,2,False,True,False,False,1,0,0,1,0,0,0,0
3,16.0,0,False,1,1,True,8,0,0,0,False,False,True,False,False,False,False,1,1,False,True,False,False,1,0,0,1,1,0,0,0
4,10.0,0,True,1,1,True,7,0,0,0,False,False,False,False,False,False,False,1,1,True,False,False,False,0,0,0,1,1,0,0,0
5,22.0,0,True,11,1,True,6,0,0,0,False,False,True,False,False,False,False,1,3,False,True,False,True,0,0,0,1,1,0,0,1
6,64.0,0,True,262,1,True,2,0,0,0,False,False,False,False,False,False,False,1,3,False,True,False,True,1,0,0,1,1,0,0,1
7,65.64504283965728,0,True,1,1,True,1,0,0,0,False,False,False,False,False,False,False,1,5,False,True,True,True,0,0,0,1,0,0,0,1
8,36.0,0,True,49,1,True,2,0,0,0,False,False,False,False,False,False,False,1,3,False,True,False,True,0,0,0,1,1,0,0,1
9,20.0,0,True,1,1,True,7,0,0,0,False,False,False,False,False,False,False,1,4,True,False,False,False,0,0,0,1,1,0,0,1
10,30.0,0,True,87,1,True,1,0,0,0,False,False,False,False,False,False,False,1,4,False,True,False,True,1,0,0,1,1,0,0,0
11,50.0,0,False,1,0,False,4,0,0,0,False,False,False,False,False,False,False,1,1,False,False,False,False,0,0,1,0,1,0,0,0
12,29.0,1,False,5,0,False,6,0,0,1,False,False,True,True,True,False,False,1,1,False,True,False,False,0,0,0,1,1,0,0,0
13,17.0,0,False,2,1,True,4,0,1,0,True,False,False,False,False,False,False,1,1,True,False,False,False,0,0,0,1,1,0,0,1
14,17.0,0,False,3,1,True,6,0,1,0,True,False,False,False,False,False,False,1,5,False,True,False,False,0,0,0,1,0,0,0,1
15,6.0,0,True,3,1,True,1,0,0,0,False,False,False,False,False,False,False,1,3,False,True,False,True,0,0,0,1,0,0,0,0
16,27.0,1,False,4,1,True,2,0,0,0,False,False,False,False,False,False,False,1,1,False,True,False,False,0,0,0,1,1,0,0,0
17,19.0,0,False,1,1,True,2,0,0,0,False,False,False,False,False,False,False,1,1,True,False,False,False,1,0,0,1,1,0,0,1
18,35.0,0,True,19,1,True,2,0,0,0,False,False,False,False,False,False,False,1,4,False,True,False,True,0,0,0,1,1,0,0,1
19,7.0,0,True,1,1,True,4,0,0,0,False,False,False,False,False,False,False,1,1,False,True,False,False,0,0,0,1,1,0,0,1
20,65.64504283965728,0,True,1,1,True,1,0,0,0,False,False,False,False,False,False,False,1,2,False,True,False,False,0,0,0,1,0,0,0,0
21,13.0,0,False,4,1,True,5,0,0,0,False,False,True,False,False,True,False,1,4,False,True,False,False,0,0,0,1,1,0,0,0
22,19.0,0,False,5,1,True,5,0,1,0,True,False,False,False,False,False,False,1,1,False,True,False,False,1,0,0,1,1,0,0,1
23,18.0,0,False,1,1,True,4,0,1,0,True,False,False,False,False,False,False,1,2,False,True,False,False,0,0,0,1,1,0,0,1
24,65.64504283965728,0,False,1,1,True,1,0,0,0,False,False,False,False,False,False,False,1,1,False,True,False,False,0,0,0,1,0,0,0,0
25,33.0,0,False,1,0,False,1,0,0,0,False,False,False,False,False,False,False,1,1,False,True,False,False,0,0,0,1,1,0,0,0
26,21.0,0,False,1,0,False,3,0,1,0,True,False,False,False,False,False,False,1,1,False,True,False,False,1,0,0,1,1,0,0,0
27,10.0,0,True,1,1,True,5,0,0,0,False,False,True,False,False,False,False,1,6,False,False,True,True,0,0,0,1,1,0,0,1
28,18.0,0,False,3,1,True,4,0,0,0,False,False,False,False,False,False,False,1,1,False,True,False,False,0,0,0,1,1,0,0,1
29,13.0,0,False,5,1,True,4,0,1,0,True,False,True,False,False,False,False,1,1,False,True,False,False,0,0,0,1,1,0,0,1
